Designator,Mid X,Mid Y,Rotation,Layer
C1,107.315,-89.408,0.0,top
C10,115.0,-80.5,270.0,top
C11,108.585,-73.719836,270.0,top
C12,118.565517,-73.661241,0.0,top
C13,118.51,-79.065,0.0,top
C14,115.336222,-87.812642,270.0,top
C15,120.01,-85.545,90.0,top
C16,120.01,-83.795,270.0,top
C17,120.01,-82.045,90.0,top
C18,120.01,-80.065,270.0,top
C2,119.604047,-78.055779,0.0,top
C3,107.315,-73.72445,270.0,top
C4,109.22,-89.408,0.0,top
C5,121.158,-73.177632,180.0,top
C6,115.05,-83.6125,90.0,top
C7,112.8,-84.8625,180.0,top
C8,118.559221,-72.73351,0.0,top
C9,123.302168,-79.072365,180.0,top
D1,124.5,-91.0,90.0,top
D2,124.5,-87.0,90.0,top
D3,111.506,-74.295,270.0,top
D4,123.749442,-75.974373,270.0,top
J2,128.75,-82.5,270.0,top
L1,117.200406,-76.48351,90.0,top
R1,109.855,-73.738298,270.0,top
R10,122.51,-81.565,0.0,top
R11,122.51,-80.565,0.0,top
R12,115.343719,-85.962304,270.0,top
R13,124.5,-89.0,180.0,top
R14,123.302168,-78.064865,0.0,top
R15,121.450406,-78.058122,0.0,top
R16,112.75,-91.25,270.0,top
R2,113.03,-73.66,270.0,top
R3,110.998,-76.835,270.0,top
R4,114.437926,-73.66,90.0,top
R5,111.506,-91.25,270.0,top
R6,123.063,-89.535,90.0,top
R7,112.014,-76.835,90.0,top
R8,122.5,-84.75,0.0,top
R9,122.5,-83.75,0.0,top
U1,120.82238,-75.881225,0.0,top
U2,117.75,-82.75,0.0,top
U3,113.1,-82.5,270.0,bottom
U4,112.8,-81.6125,90.0,top
U5,117.636222,-87.852642,90.0,top
Y1,108.905989,-91.186465,0.0,top
