Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0402,2,20pf,C1554
"C10, C13, C14, C15, C16, C17, C18, C2, C3, C6, C9",0402,11,0.1uF,C307331
"C11, C12, C8",0402,3,22uf,C415703
"C19, C20",0402,2,1uF,DNP
"C5, C7",0805,2,10uF,C162422
"D1, D2, D3, D4",D_SOD-323,4,1N5819WS,C191023
J1,TestPoint_Pad_1.0x1.0mm_6pad,1,Conn_01x06_Pin,DNP
J2,JST_GH_SM12B-GHS-TB_1x12-1MP_P1.25mm_Horizontal,1,SM12B-GHS-TB(LF)(SN),C265421
L1,1008,1,6.8uH,C98340
"R1, R12, R16, R2, R3, R4, R5, R6",0402,8,10K,C25744
"R10, R11, R8, R9",0402,4,499R,C25076
R13,0402,1,100R,C25076
R14,0402,1,182k,C11481
R15,0402,1,62k,C137950
R7,0402,1,309k,
U1,TSOT-23-6,1,AP63201WU,C2071044
U2,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,
U3,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,C2934560
U4,SOT-23-5,1,LP5907MFX-3.0,
U5,SOT-23-6,1,MCP4725xxx-xCH,
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768khz 3215 12.5pf,C32346
